Catchment,Period,cliffs_delta,ci_low,ci_high,Indicator,Comparison
30007,2080s,-0.8888888888888888,-1,-0.6643356643356644,Pct_Q95,SSP3 vs SSP1
32012,2080s,-0.9444444444444444,-1,-0.7813634154946674,Pct_Q95,SSP3 vs SSP1
33001,2080s,-0.8055555555555556,-0.9996471517943677,-0.5003528482056318,Pct_Q95,SSP3 vs SSP1
34001,2080s,-0.8472222222222222,-1,-0.583380379760751,Pct_Q95,SSP3 vs SSP1
35002,2080s,-0.875,-1,-0.6365286043558798,Pct_Q95,SSP3 vs SSP1
35005,2080s,-0.875,-1,-0.6446561533678234,Pct_Q95,SSP3 vs SSP1
36015,2080s,-0.8055555555555556,-1,-0.5259729723533435,Pct_Q95,SSP3 vs SSP1
36019,2080s,-0.7361111111111112,-1,-0.3888888888888889,Pct_Q95,SSP3 vs SSP1
38001,2080s,-0.8888888888888888,-1,-0.674074074074074,Pct_Q95,SSP3 vs SSP1
39009,2080s,-0.6527777777777778,-0.9166518618468499,-0.2727272727272727,Pct_Q95,SSP3 vs SSP1
6013,2080s,-0.7916666666666666,-1,-0.4825174825174825,Pct_Q95,SSP3 vs SSP1
6014,2080s,-0.8055555555555556,-1,-0.5142857142857142,Pct_Q95,SSP3 vs SSP1
7009,2080s,-0.8055555555555556,-1,-0.5,Pct_Q95,SSP3 vs SSP1
7012,2080s,-0.8194444444444444,-1,-0.5260611844047514,Pct_Q95,SSP3 vs SSP1
12001,2080s,-0.8194444444444444,-1,-0.4963015602322311,Pct_BFI,SSP5 vs SSP1
14007,2080s,-0.8611111111111112,-1,-0.6087469240672095,Pct_BFI,SSP5 vs SSP1
15003,2080s,-0.9027777777777778,-1,-0.7185243993219458,Pct_BFI,SSP5 vs SSP1
15006,2080s,-0.8611111111111112,-1,-0.6389329949145928,Pct_BFI,SSP5 vs SSP1
15007,2080s,-0.9166666666666666,-1,-0.7144379924324005,Pct_BFI,SSP5 vs SSP1
16008,2080s,-0.9444444444444444,-1,-0.7777777777777778,Pct_BFI,SSP5 vs SSP1
16011,2080s,-0.9722222222222222,-1,-0.8741258741258742,Pct_BFI,SSP5 vs SSP1
18002,2080s,-0.8055555555555556,-1,-0.5002664867567009,Pct_BFI,SSP5 vs SSP1
18003,2080s,-0.8611111111111112,-1,-0.6142857142857143,Pct_BFI,SSP5 vs SSP1
18006,2080s,-0.8611111111111112,-1,-0.6111111111111112,Pct_BFI,SSP5 vs SSP1
18050,2080s,-0.9305555555555556,-1,-0.7858655063738421,Pct_BFI,SSP5 vs SSP1
22006,2080s,-0.9444444444444444,-1,-0.8,Pct_BFI,SSP5 vs SSP1
22035,2080s,-1,-1,-1,Pct_BFI,SSP5 vs SSP1
23002,2080s,-0.875,-1,-0.6250907323957339,Pct_BFI,SSP5 vs SSP1
24008,2080s,-0.6805555555555556,-0.9428033755115227,-0.31429586616216004,Pct_BFI,SSP5 vs SSP1
24030,2080s,-0.6527777777777778,-0.9375,-0.2727272727272727,Pct_BFI,SSP5 vs SSP1
25001,2080s,-1,-1,-1,Pct_BFI,SSP5 vs SSP1
25002,2080s,-0.875,-1,-0.552526511486575,Pct_BFI,SSP5 vs SSP1
