Q95,Q7min,BFI,Q710,MAF,Qmed,Q10,MaxQ,MedAMax,Max30Day,Flashiness,RBI,CV,Model,Period,Scenario,Catchment
17.73695,14.39971429,0.454968165,15.4255,58.92170506,44.784,117.583,385.36,239.305,5164.65,8.159942944,0.123577423,73.24888652,CM7.ssp3,Baseline,ssp3,18003
17.31185,14.78271429,0.456622357,15.2861,56.39780799,41.0855,118.243,295.84,218.32,4821.195,8.335388765,0.1213633,73.85317328,CM8.ssp3,Baseline,ssp3,18003
18.14325,14.825,0.470993432,15.073,57.6802098,43.375,115.739,305.67,218.905,5061.52,7.791189561,0.124881968,71.21846318,CM9.ssp3,Baseline,ssp3,18003
17.2584,14.33271429,0.441820223,14.9917,58.56284678,42.928,121.636,321.3,244.14,5857.43,8.849313957,0.125636717,76.17729536,CM10.ssp3,Baseline,ssp3,18003
16.64785,14.44442857,0.458708536,14.5915,56.90051077,43.017,117.376,332.67,216.615,5327.51,8.581918987,0.115335756,72.60882419,CM11.ssp3,Baseline,ssp3,18003
17.966,15.36728571,0.467897321,15.7059,60.20124229,46.417,120.959,340.63,219.845,5020.98,8.171323611,0.123664194,70.12868842,CM12.ssp3,Baseline,ssp3,18003
16.6284,14.49171429,0.431253611,14.7394,57.39314256,41.733,118.49,489.13,238.95,4934.296,8.744437228,0.130717045,77.44348869,CM1.ssp3,2020s,ssp3,18003
17.0534,14.93314286,0.439762072,15.0979,58.59759551,44.685,117.92,675.12,235.945,5037.287,8.452390726,0.129926645,75.33511169,CM2.ssp3,2020s,ssp3,18003
17.1092,14.50928571,0.446405342,14.7161,60.75420133,46.751,122.898,357.86,249.325,5116.648,8.700114558,0.127675404,72.42334504,CM3.ssp3,2020s,ssp3,18003
17.8798,14.39385714,0.431701699,14.6617,68.649255,52.171,139.282,487.45,295.4,6193.605,9.491940626,0.138695257,75.23931806,CM4.ssp3,2020s,ssp3,18003
16.094,14.11728571,0.426261675,14.7156,55.75917651,40.734,115.81,447.58,229.195,5815.342,8.954144402,0.122606175,78.24867008,CM5.ssp3,2020s,ssp3,18003
17.0778,14.63142857,0.43683084,15.1331,58.39560226,43.213,119.304,337.17,235.24,5616.557,8.547822319,0.12346821,74.90510655,CM6.ssp3,2020s,ssp3,18003
16.2876,14.19328571,0.445381289,14.3706,55.06966861,40.117,113.564,518.4,223.475,5795.391,8.624229475,0.123839833,76.92521909,CM7.ssp3,2020s,ssp3,18003
17.3868,15.01871429,0.4343922,15.1162,60.15071169,43.879,125.776,333.83,243.35,5361.272,8.884095981,0.125899474,75.66077392,CM8.ssp3,2020s,ssp3,18003
17.6104,14.724,0.429039537,15.1455,57.33038067,41.442,121.184,328.92,223.05,5030.49,8.383341662,0.126725976,75.24167442,CM9.ssp3,2020s,ssp3,18003
17.3012,14.66,0.433752566,15.1537,61.81404353,46.203,127.26,370.55,252.205,5491.19,9.137400874,0.131757067,75.55392787,CM10.ssp3,2020s,ssp3,18003
16.383,14.11057143,0.385569905,14.7894,59.20845916,40.972,130.284,481.11,243.89,6378.13,9.681132882,0.126896038,80.85017973,CM11.ssp3,2020s,ssp3,18003
17.4332,14.95242857,0.438616798,15.2701,59.56908205,43.458,123.61,367.1,270.115,6559.65,8.728059106,0.131525292,77.65366715,CM12.ssp3,2020s,ssp3,18003
15.837,14.14385714,0.386982122,14.6087,56.11434933,37.7165,123.313,484.05,235.25,5718.917,9.832512471,0.132981515,84.82939189,CM1.ssp3,2050s,ssp3,18003
15.92525,14.21214286,0.402439597,14.5358,58.4435532,43.7105,120.972,466.37,248.4,5483.84,9.283025384,0.130126108,77.48393995,CM2.ssp3,2050s,ssp3,18003
17.44685,14.42228571,0.43103814,14.8883,61.05724192,44.1045,129.36,410.4,257.36,5760.64,9.047621777,0.130444053,77.02757343,CM3.ssp3,2050s,ssp3,18003
18.1844,14.55771429,0.407481675,15.2293,70.13076109,49.553,151.519,617.63,319.99,6818.03,10.27350366,0.145818055,81.43170502,CM4.ssp3,2050s,ssp3,18003
15.16,14.03728571,0.379437033,14.063,57.69732022,41.901,122.488,373.53,227.365,5011.296,9.879386544,0.129382872,79.01545324,CM5.ssp3,2050s,ssp3,18003
16.28085,14.25042857,0.420389583,14.6908,57.53591659,42.388,118.93,439.35,242.245,5248.57,9.088960343,0.122936703,77.62992656,CM6.ssp3,2050s,ssp3,18003
16.32685,14.28071429,0.408536461,14.5835,57.69558469,42.0115,120.3,477.41,250.595,4685.036,8.907964488,0.131529677,77.76658652,CM7.ssp3,2050s,ssp3,18003
15.95955,14.31814286,0.40783797,14.4224,55.3062777,39.4,119.043,338.87,231.55,5008.278,9.126980397,0.124460875,79.10065007,CM8.ssp3,2050s,ssp3,18003
16.36985,14.46642857,0.420330366,14.7107,56.42704389,41.0905,116.16,347.82,242.765,5217.374,8.956648961,0.126344203,77.36262578,CM9.ssp3,2050s,ssp3,18003
16.95695,14.23585714,0.424318483,14.8381,62.46251597,45.7845,130.1,378.12,257.24,5814.342,9.471219765,0.136092753,77.27312711,CM10.ssp3,2050s,ssp3,18003
