"Model","Scenario","Catchment","Period","Pct_Q95","Pct_BFI"
"CM9.ssp5","ssp5",6014,"2080s",-7.95737655710641,-12.6257130591625
"CM10.ssp5","ssp5",6014,"2080s",-5.24268264104892,-9.98990933406195
"CM11.ssp5","ssp5",6014,"2080s",-3.22076605079757,-5.8537720745113
"CM12.ssp5","ssp5",6014,"2080s",-2.70039817372363,-8.67280700222126
"CM1.ssp1","ssp1",7009,"2080s",-2.77213313831949,-6.87503353831168
"CM2.ssp1","ssp1",7009,"2080s",0.814201183431956,-0.633323667633013
"CM3.ssp1","ssp1",7009,"2080s",-0.845119465313828,-5.98616490139282
"CM4.ssp1","ssp1",7009,"2080s",-1.12118510787874,-9.74736205202021
"CM5.ssp1","ssp1",7009,"2080s",-0.411918796606925,-12.5023563934866
"CM6.ssp1","ssp1",7009,"2080s",-4.05890199213163,-8.18551265041705
"CM7.ssp1","ssp1",7009,"2080s",-5.35957083288529,-5.13203932798805
"CM8.ssp1","ssp1",7009,"2080s",-3.59812114286804,-9.48620834826456
"CM9.ssp1","ssp1",7009,"2080s",-0.732400677785714,-2.60004102574298
"CM10.ssp1","ssp1",7009,"2080s",2.69875308515626,-3.77677597206991
"CM11.ssp1","ssp1",7009,"2080s",-0.0638597620127107,-6.35060593436266
"CM12.ssp1","ssp1",7009,"2080s",0.109853047458444,-3.22519184266685
"CM1.ssp3","ssp3",7009,"2080s",-6.86742384603965,-14.7591129857518
"CM2.ssp3","ssp3",7009,"2080s",-4.91550295857988,-8.48102370706512
"CM3.ssp3","ssp3",7009,"2080s",-6.31868862607031,-8.44859623551131
"CM4.ssp3","ssp3",7009,"2080s",-6.80320918400628,-13.5914028032603
"CM5.ssp3","ssp3",7009,"2080s",-7.06647542153346,-24.1264850807895
"CM6.ssp3","ssp3",7009,"2080s",-6.33562385935175,-12.9031011830572
"CM7.ssp3","ssp3",7009,"2080s",-8.95826612662341,-9.91219621568815
"CM8.ssp3","ssp3",7009,"2080s",-5.63728706007525,-7.75507374256801
"CM9.ssp3","ssp3",7009,"2080s",-7.46917988862281,-12.1982941878141
"CM10.ssp3","ssp3",7009,"2080s",-3.52263531203885,-10.0643871239526
"CM11.ssp3","ssp3",7009,"2080s",-3.80379941210021,-12.9097832312453
"CM12.ssp3","ssp3",7009,"2080s",-0.303541315345694,-3.87472899909451
"CM1.ssp5","ssp5",7009,"2080s",-7.70750843856698,-14.268041267887
"CM2.ssp5","ssp5",7009,"2080s",-7.6610650887574,-9.68679547360978
"CM3.ssp5","ssp5",7009,"2080s",-3.92768969244422,-9.08442482738726
"CM4.ssp5","ssp5",7009,"2080s",-4.57581709293927,-15.1207595965131
"CM5.ssp5","ssp5",7009,"2080s",-7.8404860786927,-29.7513489400486
"CM6.ssp5","ssp5",7009,"2080s",-7.66467469554623,-18.246379096352
"CM7.ssp5","ssp5",7009,"2080s",-9.87299425307957,-10.2716800446175
"CM8.ssp5","ssp5",7009,"2080s",-5.25655369509364,-5.96821400142381
"CM9.ssp5","ssp5",7009,"2080s",-8.01999747930933,-11.9129007067861
"CM10.ssp5","ssp5",7009,"2080s",-5.56576379302137,-9.34331381980209
"CM11.ssp5","ssp5",7009,"2080s",-4.29615330242716,-8.59962519135351
"CM12.ssp5","ssp5",7009,"2080s",-3.03252228378704,-8.63785197204675
"CM1.ssp1","ssp1",7012,"2080s",-2.93603222953719,-7.17893241215964
"CM2.ssp1","ssp1",7012,"2080s",0.495315998866029,-0.577306524042126
"CM3.ssp1","ssp1",7012,"2080s",-0.938920461490577,-5.84747882792695
"CM4.ssp1","ssp1",7012,"2080s",-1.34147909339904,-9.40755024010465
"CM5.ssp1","ssp1",7012,"2080s",-0.452016803162488,-12.2790996526903
"CM6.ssp1","ssp1",7012,"2080s",-4.29478877782407,-8.31589074860807
"CM7.ssp1","ssp1",7012,"2080s",-5.66705755730831,-5.4478564830531
"CM8.ssp1","ssp1",7012,"2080s",-3.92034288975017,-9.55985787053978
"CM9.ssp1","ssp1",7012,"2080s",-0.654388110953527,-2.1858765640067
"CM10.ssp1","ssp1",7012,"2080s",2.95466858152185,-3.59020324505145
"CM11.ssp1","ssp1",7012,"2080s",-0.155794180947793,-6.32741659996054
"CM12.ssp1","ssp1",7012,"2080s",-0.00405622248866728,-3.12140765526474
"CM1.ssp3","ssp3",7012,"2080s",-7.28570960662933,-15.3523845761091
