Station No.,Easting ,Northing,FEMI AREA,CENTE (m),CENTN (m),SAAR (mm),FARL (index),URBEXT (Prop),FOREST (Prop),PEAT (Prop),ALLUV (Prop),FLATWET (index),SAAPE (mm),FAI (Prop),BFIsoil (index),NETLEN (km),STMFRQ (no.),DRAIND (km/km^2),MSL (km),S1085 (m/km),TAYSLO,ARTDRAIN (Prop),ARTDRAIN2 (Prop),Period,cliffs_delta,Comparison,Indicator
30007,142067,253763,469.9,151460,267470,1115.06,0.989,0.005,0.041,0.192,0.022,0.700,461.440,0.140,0.646,380.622,302,0.810,50.334,1.086,0.227,0.117,0.687,2080s,-0.888888889,SSP5 vs SSP1,Pct_Q95
32012,99692,294311,146.2,105650,301310,1784.36,0.843,0.000,0.251,0.529,0.024,0.720,471.210,0.140,0.595,278.708,483,1.907,31.358,4.102,0.224,0.000,0.000,2080s,-0.930555556,SSP5 vs SSP1,Pct_Q95
33001,89471,333675,76.1,95480,333070,1466.61,0.998,0.000,0.252,0.637,0.024,0.730,482.700,0.100,0.285,119.049,152,1.564,17.647,10.449,2.714,0.000,0.000,2080s,-0.833333333,SSP5 vs SSP1,Pct_Q95
34001,124321,317816,1974.76,129200,299360,1322.66,0.825,0.008,0.094,0.315,0.023,0.730,461.480,0.200,0.776,2669.455,3523,1.352,88.856,0.719,0.174,0.136,0.336,2080s,-0.888888889,SSP5 vs SSP1,Pct_Q95
35002,163917,325724,81.1,155855,323805,1380.56,0.986,0.000,0.340,0.246,0.036,0.720,465.020,0.180,0.422,151.046,289,1.701,25.658,13.263,0.724,0.000,0.000,2080s,-0.902777778,SSP5 vs SSP1,Pct_Q95
35005,166818,329034,639.65,165930,315240,1198.32,0.898,0.002,0.140,0.114,0.029,0.710,462.650,0.210,0.609,836.129,1226,1.307,41.034,1.154,0.144,0.000,0.000,2080s,-0.888888889,SSP5 vs SSP1,Pct_Q95
36015,253737,325767,98.269,257110,330580,1024.37,0.930,0.000,0.033,0.009,0.043,0.680,480.660,0.151,0.605,144.345,204,1.469,24.338,3.018,0.401,0.001,0.000,2080s,-0.791666667,SSP5 vs SSP1,Pct_Q95
36019,235975,316672,1491.75,249750,304810,971.21,0.761,0.007,0.043,0.015,0.033,0.670,478.190,0.150,0.787,1506.338,1508,1.010,78.577,1.191,0.164,0.000,0.000,2080s,-0.763888889,SSP5 vs SSP1,Pct_Q95
38001,176545,392706,111.24,185550,394980,1753.20,0.922,0.003,0.217,0.344,0.031,0.700,498.140,0.120,0.285,263.736,576,2.371,25.739,5.950,0.661,0.000,0.000,2080s,-0.902777778,SSP5 vs SSP1,Pct_Q95
39009,217903,421857,206.82,208950,418480,1570.26,0.816,0.004,0.123,0.409,0.032,0.700,501.230,0.140,0.404,373.737,790,1.807,32.898,5.223,0.261,0.000,0.000,2080s,-0.694444444,SSP5 vs SSP1,Pct_Q95
