Catchment,p_value,Comparison,Indicator
25002,7.174142320191586e-5,SSP5 vs SSP1,Pct_BFI
25006,7.174142320191586e-5,SSP5 vs SSP1,Pct_BFI
25030,1.0280471984604439e-4,SSP5 vs SSP1,Pct_BFI
25034,0.002316434406890727,SSP5 vs SSP1,Pct_BFI
26021,0.002316434406890727,SSP5 vs SSP1,Pct_BFI
26058,2.743924536898019e-4,SSP5 vs SSP1,Pct_BFI
27002,0.0011145806676833734,SSP5 vs SSP1,Pct_BFI
30007,0.0014326096571351653,SSP5 vs SSP1,Pct_BFI
32012,4.95533541703955e-4,SSP5 vs SSP1,Pct_BFI
33001,0.008293160601681265,SSP5 vs SSP1,Pct_BFI
34001,0.00182977609279938,SSP5 vs SSP1,Pct_BFI
35002,4.95533541703955e-4,SSP5 vs SSP1,Pct_BFI
35005,3.328210354728055e-5,SSP5 vs SSP1,Pct_BFI
36015,1.0280471984604439e-4,SSP5 vs SSP1,Pct_BFI
36019,7.174142320191586e-5,SSP5 vs SSP1,Pct_BFI
38001,1.40524437199629e-5,SSP5 vs SSP1,Pct_BFI
39009,8.579386692187877e-4,SSP5 vs SSP1,Pct_BFI
6013,0.005559590496997955,SSP5 vs SSP1,Pct_BFI
6014,0.002316434406890727,SSP5 vs SSP1,Pct_BFI
7009,0.0036366245142661893,SSP5 vs SSP1,Pct_BFI
7012,0.00182977609279938,SSP5 vs SSP1,Pct_BFI
12001,0.0029140330661396757,SSP3 vs SSP1,Pct_BFI
14007,4.95533541703955e-4,SSP3 vs SSP1,Pct_BFI
15003,2.743924536898019e-4,SSP3 vs SSP1,Pct_BFI
15006,1.0280471984604439e-4,SSP3 vs SSP1,Pct_BFI
15007,4.955335417039549e-5,SSP3 vs SSP1,Pct_BFI
16008,1.0280471984604439e-4,SSP3 vs SSP1,Pct_BFI
16011,1.4422244870488242e-4,SSP3 vs SSP1,Pct_BFI
18002,0.0011145806676833734,SSP3 vs SSP1,Pct_BFI
18003,6.560272410319523e-4,SSP3 vs SSP1,Pct_BFI
18006,3.712803551274409e-4,SSP3 vs SSP1,Pct_BFI
18050,3.712803551274409e-4,SSP3 vs SSP1,Pct_BFI
22006,1.0280471984604439e-4,SSP3 vs SSP1,Pct_BFI
22035,4.955335417039549e-5,SSP3 vs SSP1,Pct_BFI
23002,3.712803551274409e-4,SSP3 vs SSP1,Pct_BFI
24008,0.005559590496997955,SSP3 vs SSP1,Pct_BFI
24030,0.002316434406890727,SSP3 vs SSP1,Pct_BFI
25001,7.174142320191586e-5,SSP3 vs SSP1,Pct_BFI
25002,3.712803551274409e-4,SSP3 vs SSP1,Pct_BFI
25006,4.955335417039549e-5,SSP3 vs SSP1,Pct_BFI
25030,1.4422244870488242e-4,SSP3 vs SSP1,Pct_BFI
25034,0.0011145806676833734,SSP3 vs SSP1,Pct_BFI
26021,0.0011145806676833734,SSP3 vs SSP1,Pct_BFI
26058,6.560272410319523e-4,SSP3 vs SSP1,Pct_BFI
27002,0.0014326096571351653,SSP3 vs SSP1,Pct_BFI
30007,0.0045130532410112435,SSP3 vs SSP1,Pct_BFI
32012,0.0011145806676833734,SSP3 vs SSP1,Pct_BFI
33001,0.014492507089088058,SSP3 vs SSP1,Pct_BFI
34001,0.006811737192676754,SSP3 vs SSP1,Pct_BFI
35002,0.0029140330661396757,SSP3 vs SSP1,Pct_BFI
35005,7.174142320191586e-5,SSP3 vs SSP1,Pct_BFI
36015,0.0011145806676833734,SSP3 vs SSP1,Pct_BFI
36019,3.328210354728055e-5,SSP3 vs SSP1,Pct_BFI
38001,0.0011145806676833734,SSP3 vs SSP1,Pct_BFI
39009,0.006811737192676754,SSP3 vs SSP1,Pct_BFI
6013,0.006811737192676754,SSP3 vs SSP1,Pct_BFI
6014,0.0045130532410112435,SSP3 vs SSP1,Pct_BFI
7009,0.002316434406890727,SSP3 vs SSP1,Pct_BFI
7012,0.0029140330661396757,SSP3 vs SSP1,Pct_BFI
